repo_full_name,mean_commits,std_commits,cv,total_commits,min_commits,max_commits,median_commits,display_name
deepset-ai/haystack,14.092948717948717,9.332084214081663,66.21810950178482,4397,0.0,59.0,13.0,Haystack
langchain-ai/langchain,46.68269230769231,57.78565522934254,123.78389585688205,14565,0.0,229.0,17.5,LangChain
microsoft/autogen,11.73076923076923,15.256582008537503,130.05610892523774,3660,0.0,101.0,5.0,AutoGen
run-llama/llama_index,23.21794871794872,30.20749143083526,130.10404923275263,7244,0.0,241.0,9.0,LlamaIndex
microsoft/semantic-kernel,15.195512820512821,21.57221281307433,141.96436190000404,4741,0.0,106.0,0.0,Semantic Kernel
crewAIInc/crewAI,5.410256410256411,9.65639371007011,178.48310648944755,1688,0.0,54.0,0.0,CrewAI
letta-ai/letta,13.39423076923077,25.52701800604566,190.58218755410974,4179,0.0,151.0,0.0,Letta
TransformerOptimus/SuperAGI,5.746794871794871,27.875642353844672,485.0641614277489,1793,0.0,235.0,0.0,SuperAGI
