repo_full_name,mean_commits,std_commits,cv,total_commits,min_commits,max_commits,median_commits,display_name
deepset-ai/haystack,175.88,82.75934992494805,47.05444048496023,4397,31.0,346.0,162.0,Haystack
microsoft/autogen,146.4,174.94975469164473,119.50119855986661,3660,0.0,537.0,68.0,AutoGen
run-llama/llama_index,289.76,354.07076505504756,122.19449373793745,7244,0.0,1228.0,126.0,LlamaIndex
langchain-ai/langchain,582.6,719.5169676016451,123.50102430512273,14565,0.0,2023.0,284.0,LangChain
microsoft/semantic-kernel,189.64,250.03164466389717,131.8454148196041,4741,0.0,808.0,0.0,Semantic Kernel
crewAIInc/crewAI,67.52,101.47582634959586,150.29002717653418,1688,0.0,295.0,0.0,CrewAI
letta-ai/letta,167.16,277.7654406149188,166.16740883878848,4179,0.0,910.0,0.0,Letta
TransformerOptimus/SuperAGI,71.72,240.41050309834634,335.20705953478296,1793,0.0,970.0,0.0,SuperAGI
