repo_full_name,mean_commits,std_commits,cv,total_commits,min_commits,max_commits,median_commits,display_name
deepset-ai/haystack,61.06944444444444,29.688678730408892,48.61462061836343,4397,1.0,141.0,57.5,Haystack
microsoft/autogen,50.833333333333336,59.960785307131246,117.95564322714343,3660,0.0,238.0,24.0,AutoGen
langchain-ai/langchain,202.29166666666666,244.2417088131011,120.7374049745505,14565,0.0,772.0,74.5,LangChain
run-llama/llama_index,100.61111111111111,121.96808120385784,121.2272480215042,7244,0.0,587.0,26.5,LlamaIndex
microsoft/semantic-kernel,65.84722222222223,86.3014141059248,131.06310515980985,4741,0.0,321.0,0.0,Semantic Kernel
crewAIInc/crewAI,23.444444444444443,35.47698674379499,151.32364013940992,1688,0.0,125.0,0.0,CrewAI
letta-ai/letta,58.041666666666664,101.4006747067588,174.7032442901803,4179,0.0,368.0,0.0,Letta
TransformerOptimus/SuperAGI,24.90277777777778,113.57297830305401,456.0655012727211,1793,0.0,775.0,0.0,SuperAGI
