repo_full_name,mean_commits,std_commits,cv,total_commits,contribution_percentage,repo_commits,display_name
letta-ai/letta,46.20289855072464,85.43962087348154,184.92264241751025,3188,8.05131831498131,3188,Letta
microsoft/semantic-kernel,66.82608695652173,88.01202399835176,131.70309381666172,4611,11.64511566824932,4611,Semantic Kernel
deepset-ai/haystack,61.10144927536232,29.83392508712199,48.826869805773654,4216,10.647540155571269,4216,Haystack
langchain-ai/langchain,200.1014492753623,248.84002331568584,124.35693205462681,13807,34.869683806445096,13807,LangChain
microsoft/autogen,52.36231884057971,60.767873433276634,116.05267829770516,3613,9.124659056470351,3613,AutoGen
crewAIInc/crewAI,21.492753623188406,34.830101580810556,162.0550916436904,1483,3.745327810889989,1483,CrewAI
TransformerOptimus/SuperAGI,25.985507246376812,115.92815888370433,446.12621098581144,1793,4.52823517527023,1793,SuperAGI
run-llama/llama_index,99.78260869565217,124.53500211554243,124.80632020294011,6885,17.38812001212244,6885,LlamaIndex
